,duration,cost
0,month,43
1,month,61
2,month,46
3,month,54
4,month,61
5,month,51
6,month,46
7,month,48
8,month,50
9,month,54
10,month,45
11,month,50
12,month,49
13,month,58
14,month,53
15,month,57
16,month,46
17,month,51
18,month,46
19,month,59
20,month,50
21,month,56
22,month,42
23,month,51
24,month,42
25,month,51
26,month,46
27,month,40
28,month,56
29,month,58
30,month,47
31,month,48
32,month,48
33,month,51
34,month,53
35,month,51
36,month,47
37,month,41
38,month,62
39,month,47
40,month,47
41,month,49
42,month,55
43,month,49
44,month,55
45,month,52
46,month,61
47,month,53
48,month,52
49,month,49
50,month,49
51,month,42
52,month,45
53,month,50
54,month,49
55,month,49
56,month,52
57,month,39
58,month,54
59,month,53
60,month,54
61,month,52
62,month,50
63,month,51
64,month,58
65,month,51
66,month,52
67,month,53
68,month,46
69,month,58
70,month,52
71,month,47
72,month,47
73,month,42
74,month,43
75,month,41
76,month,48
77,month,51
78,month,50
79,month,51
80,month,44
81,month,45
82,month,51
83,month,45
84,month,57
85,month,54
86,month,50
87,month,54
88,month,50
89,month,46
90,month,53
91,month,44
92,month,44
93,month,49
94,month,55
95,month,51
96,month,53
97,month,43
98,month,43
99,month,47
100,month,46
101,month,49
102,month,56
103,month,52
104,month,50
105,month,54
106,month,50
107,month,53
108,month,46
109,month,52
110,month,49
111,month,45
112,month,47
113,month,56
114,month,36
115,month,50
116,month,45
117,month,56
118,month,47
119,month,54
120,month,53
121,month,49
122,month,51
123,month,41
124,month,49
125,month,54
126,month,53
127,month,46
128,month,48
129,month,54
130,month,49
131,month,49
132,month,53
133,month,49
134,month,51
135,month,48
136,month,44
137,month,46
138,month,52
139,month,47
140,month,45
141,month,43
142,month,46
143,month,50
144,month,39
145,month,50
146,month,54
147,month,48
148,month,59
149,month,47
150,month,43
151,month,44
152,month,50
153,month,51
154,month,56
155,month,46
156,month,51
157,month,51
158,month,53
159,month,54
160,month,52
161,month,38
162,month,60
163,month,58
164,month,53
165,month,44
166,month,48
167,month,54
168,month,53
169,month,53
170,month,46
171,month,49
172,month,59
173,month,53
174,month,51
175,month,45
176,month,49
177,month,41
178,month,48
179,month,52
180,month,53
181,month,47
182,month,41
183,month,50
184,month,46
185,month,51
186,month,45
187,month,47
188,month,53
189,month,54
190,month,52
191,month,51
192,month,49
193,month,55
194,month,45
195,month,51
196,month,49
197,month,54
198,month,55
199,month,58
200,month,38
201,month,45
202,month,40
203,month,56
204,month,57
205,month,46
206,month,46
207,month,56
208,month,50
209,month,52
210,month,46
211,month,44
212,month,59
213,month,49
214,month,57
215,month,45
216,month,42
217,month,49
218,month,51
219,month,54
220,month,47
221,month,63
222,month,46
223,month,45
224,month,52
225,month,57
226,month,49
227,month,52
228,month,43
229,month,53
230,month,36
231,month,52
232,month,44
233,month,53
234,month,50
235,month,51
236,month,54
237,month,58
238,month,56
239,month,52
240,month,51
241,month,59
242,month,57
243,month,50
244,month,54
245,month,53
246,month,40
247,month,50
248,month,43
249,month,50
250,month,49
251,month,51
252,month,42
253,month,50
254,month,49
255,month,55
256,month,57
257,month,45
258,month,44
259,month,47
260,month,47
261,month,61
262,month,52
263,month,55
264,month,47
265,month,57
266,month,49
267,month,57
268,month,52
269,month,48
270,month,47
271,month,49
272,month,52
273,month,52
274,month,52
275,month,50
276,month,52
277,month,51
278,month,53
279,month,48
280,month,51
281,month,45
282,month,43
283,month,49
284,month,51
285,month,48
286,month,54
287,month,48
288,month,41
289,month,51
290,month,43
291,month,51
292,month,47
293,month,50
294,month,46
295,month,57
296,month,61
297,month,53
298,month,51
299,month,51
300,month,46
301,month,55
302,month,56
303,month,45
304,month,56
305,month,49
306,month,52
307,month,57
308,month,50
309,month,42
310,month,44
311,month,43
312,month,49
313,month,52
314,month,58
315,month,48
316,month,60
317,month,37
318,month,43
319,month,54
320,month,40
321,month,48
322,month,50
323,month,44
324,month,48
325,month,43
326,month,51
327,month,53
328,month,60
329,month,54
330,month,57
331,month,55
332,month,48
333,month,47
334,month,50
335,month,48
336,month,56
337,month,52
338,month,58
339,month,51
340,month,44
341,month,53
342,month,48
343,month,59
344,month,62
345,month,50
346,month,50
347,month,53
348,month,52
349,month,42
350,month,54
351,month,41
352,month,40
353,month,43
354,month,49
355,month,48
356,month,56
357,month,52
358,month,59
359,month,48
360,month,46
361,month,38
362,month,46
363,month,49
364,month,53
365,month,50
366,month,50
367,month,43
368,month,40
369,month,36
370,month,45
371,month,47
372,month,46
373,month,46
374,month,51
375,month,49
376,month,40
377,month,42
378,month,51
379,month,50
380,month,52
381,month,46
382,month,40
383,month,42
384,month,52
385,month,56
386,month,46
387,month,57
388,month,39
389,month,52
390,month,51
391,month,48
392,month,50
393,month,49
394,month,50
395,month,47
396,month,42
397,month,52
398,month,51
399,month,45
400,month,50
401,month,54
402,month,50
403,month,55
404,month,51
405,month,42
406,month,56
407,month,49
408,month,46
409,month,59
410,month,53
411,month,46
412,month,50
413,month,56
414,month,46
415,month,55
416,month,58
417,month,54
418,month,48
419,month,43
420,month,49
421,month,46
422,month,50
423,month,51
424,month,51
425,month,51
426,month,52
427,month,52
428,month,45
429,month,52
430,month,49
431,month,55
432,month,53
433,month,44
434,month,46
435,month,54
436,month,53
437,month,53
438,month,57
439,month,40
440,month,52
441,month,56
442,month,51
443,month,49
444,month,47
445,month,56
446,month,46
447,month,54
448,month,51
449,month,45
450,month,60
451,month,49
452,month,40
453,month,46
454,month,45
455,month,48
456,month,46
